"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TMCC3",225.741883167379,1.69179843583921,0.340723951759526,4.96530527749115,6.85930857590533e-07,0.00014197115906684
"B4GALT5",1628.30809181812,0.856089958443226,0.172670118849197,4.95795082640154,7.12405878692047e-07,0.000145695483214889
"KIR3DL1",109.424513264347,3.8201499416783,0.772205123842159,4.94706629589672,7.53403226582824e-07,0.000152267223876074
"X3507",201.686106987832,2.34564223552551,0.476186613270186,4.92588865406555,8.3977810881081e-07,0.000164018769777104
"SEMA6B",72.0995842482182,4.30108025040645,0.873175297249809,4.92579240841252,8.40191614202525e-07,0.000164018769777104
"HLA.DQA1",219.2250700363,2.01256385948529,0.408413737249152,4.92775750649526,8.31787600880098e-07,0.000164018769777104
"SERPING1",68.1389253329446,4.3883884153972,0.895680542209324,4.89950178505901,9.60799775295446e-07,0.000185455947638207
"ADGRG5",737.787010775854,1.42541684346807,0.291193719339195,4.89508100209979,9.82652448214782e-07,0.00018756651564313
"HLA.DRA",1093.01272100153,1.88365742020992,0.385430920392109,4.8871466209655,1.02307903001964e-06,0.000193137084139641
"OLR1",10.3178136671057,6.41010591855396,1.31389192223235,4.87871628563096,1.06778529328992e-06,0.000197454490730508
"NCR1",170.961388200396,2.2393505868128,0.459024068379209,4.87850363646472,1.06893693683784e-06,0.000197454490730508
"TCF4",40.924559107584,2.22955725237678,0.458117357734603,4.86678187310337,1.13430102028429e-06,0.00020729954497302
"TLR4",15.8952544957827,4.65988881111581,0.962054862842324,4.84368302796006,1.27454204226341e-06,0.000230477449937297
"P2RY10",2140.12972891889,-0.501707498450881,0.10370312976405,-4.83792051013684,1.3120459022909e-06,0.000234787880785993
"CTSH",431.044412982754,1.12482180868089,0.232624339631154,4.83535734250507,1.3290666173172e-06,0.000235381808442188
"CX3CR1",2765.67199832107,2.66275730431987,0.553712989206686,4.80891248033544,1.51753624423573e-06,0.000263330859997228
"DAPK1",24.8398771187367,3.12740833726412,0.650127557562542,4.81045342700038,1.50588289900831e-06,0.000263330859997228
"BANK1",15.231554149423,2.67259496444295,0.556316242957316,4.80409299256791,1.55454571951813e-06,0.00026705540915602
