"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Mbnl2.11",0.103338867506485,0.79501540177328,14.7580735598699,5.02560081622576e-10,8.27465174391571e-07,13.2602002327734
"Arfip2",-0.0642377078240378,0.879101121812483,-14.6211934781873,5.52353009358391e-10,8.61583480966034e-07,13.1587490539415
"Casz1.27",-0.15761085629812,0.407826983773562,-14.4909908895539,6.41932847361767e-10,9.51248189863034e-07,13.0057367925866
"Zcchc7.15",0.115973232164528,0.343491264538163,14.3502671873852,7.31468994849938e-10,9.73537681970826e-07,12.8699225097978
"Mitf.3",0.260041853685205,0.621239893657692,14.3381428282391,7.39783157087879e-10,9.73537681970826e-07,12.8581641058527
"Zbtb20.13",0.0336143873376228,0.950016597357857,14.174163781862,7.57770901354951e-10,9.73537681970826e-07,12.8189635975949
"Qk",0.0301775273908223,0.925450445438247,14.1325792057147,7.88369415504262e-10,9.73537681970826e-07,12.7777787438787
"Ttn.2",0.0974067933060619,0.699833265106486,14.0817941777963,9.41344818256953e-10,1.10781908320964e-06,12.6074034974361
"Zbtb18.5",0.129873783872948,0.269310229059498,14.0481459668903,9.71869492980081e-10,1.10781908320964e-06,12.5741806515697
"Ttn.3",0.129967258222225,0.784510904101682,13.8087973258635,1.22190392204167e-09,1.29219758899543e-06,12.3357542441769
"X1110002E22Rik.5",0.0918559060907112,0.732644137328544,13.7829250789117,1.25277919301432e-09,1.29219758899543e-06,12.3097583503814
"Gm13475.12",0.0857322086536282,0.869113315798753,13.7683332446137,1.27055837885099e-09,1.29219758899543e-06,12.2950773639913
"Ttn.6",0.13174649093738,0.71521736012101,13.7382832616737,1.3080246877168e-09,1.29219758899543e-06,12.2647995565057
"Mbnl2.8",0.116875790774983,0.705475692868987,13.6444578314213,1.43277673722284e-09,1.349906972952e-06,12.1698776333906
"Mbnl2.7",0.122504813759445,0.678902487435797,13.6129432169716,1.47747445717807e-09,1.349906972952e-06,12.1378630711526
"Nfix.34",-0.104338247913443,0.211364985471296,-13.5953406557565,1.50308499873185e-09,1.349906972952e-06,12.1199522940828
"Hnrnpk.1",0.102840568054973,0.758748862030352,13.4837736128507,1.67681025124277e-09,1.41382675896686e-06,12.0059459963872
"Son.28",0.07081014024965,0.721977002721807,13.4447898670602,1.74245526070736e-09,1.41382675896686e-06,11.9659108606043
"Luc7l2.6",0.0641196787975837,0.889023582833072,13.4098037423568,1.80370169351309e-09,1.41382675896686e-06,11.9298927763901
"Actc1",0.123476510664639,0.76273841800181,13.3974617069434,1.82585128149597e-09,1.41382675896686e-06,11.9171666832397
"Vmp1",-0.117145305771321,0.143864387997547,-13.382092709208,1.85383896822862e-09,1.41382675896686e-06,11.901304808646
"Parva.2",-0.113028566635162,0.684247656391559,-13.3777488637941,1.86183188437295e-09,1.41382675896686e-06,11.8968187137286
"Pptc7",0.059644496795424,0.910053983572382,13.3324309648244,1.90819146197909e-09,1.41382675896686e-06,11.8688191638613
"Sox9.5",0.0771143908142844,0.269389108561533,13.2610508908972,2.09090105570921e-09,1.51141547775741e-06,11.7758110101558
"Myot",0.0972018534557138,0.797611443465862,13.094497694042,2.47126642580232e-09,1.70384982037333e-06,11.601458756454
