"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Zfp800.4",-0.0233361729954576,0.215458280094471,-6.64429635588349,4.42132714475345e-09,2.11346568692029e-06,9.21483970491089
"Zfp521.7",-0.0228248128921274,0.84334043267552,-6.62985132898832,4.70165440651778e-09,2.20008229114965e-06,9.15388968753792
"Hoxc4.48",0.0323034156247988,0.294457466971343,6.62739754924729,4.7509959386435e-09,2.20008229114965e-06,9.14353946444635
"Zfp608.17",-0.0568678993085212,0.653799066657411,-6.61327616076503,5.04510568189822e-09,2.30033533991412e-06,9.08399355965759
"Nav2.1",-0.0413420505322592,0.749027320420958,-6.59532979701364,5.44507587161372e-09,2.44508656980327e-06,9.00836625503531
"Bcas3.16",-0.0322600148037825,0.67607664196876,-6.58642008108668,5.65517708380071e-09,2.50152960048659e-06,8.97083995512943
"Nr2f2.62",-0.0513434345814212,0.612726415900138,-6.56667748771226,6.14981661851319e-09,2.68032522239523e-06,8.88773483571547
"Cdc42bpa.1",0.0113158193404598,0.90235057472945,6.53207524302402,7.06142014280535e-09,3.02580805414436e-06,8.74994849474608
"Btrc.23",0.0362848242973033,0.719132407398935,6.53127302991588,7.14669378783632e-09,3.02580805414436e-06,8.73886848955479
"Slc38a6",-0.0595018641652884,0.535211853728943,-6.49378023437443,8.37737794240176e-09,3.46204645676646e-06,8.58145874602553
"Satb1.6",-0.0263417775094069,0.745342941540724,-6.49284337628068,8.41068073311013e-09,3.46204645676646e-06,8.57752861913762
"Srsf5",0.0311999772603629,0.725972873051176,6.48954114341561,8.5291163908461e-09,3.46270441747268e-06,8.56367697342283
"Gm9192.1",0.0384500529928108,0.685161165052867,6.45787795416302,9.75206094049353e-09,3.83393811567571e-06,8.43096092859633
"Clk1.2",0.0262062901817156,0.340322319579569,6.45749786063544,9.76775037865681e-09,3.83393811567571e-06,8.42936886987878
"Gm11935",-0.0383338389431922,0.594793497854189,-6.45431286221582,9.90020729478958e-09,3.83393811567571e-06,8.4160292278791
"Nfib.43",-0.0336705730581953,0.383000822978374,-6.45286592355816,9.96096888710157e-09,3.83393811567571e-06,8.40996966495789
"Dchs1",-0.0447824340629889,0.442407573248275,-6.44864713037065,1.01402476134761e-08,3.85290408359733e-06,8.39230417169815
"Fap.6",0.0355979468635066,0.682748664118984,6.44045538742996,1.04975412724964e-08,3.93817254041742e-06,8.35801192209007
