"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"CASP8",7477.73249286747,-2.01956807701917,0.306702928465472,4.91606731330573e-13,2.11579973984197e-10
"ELMO1",1233.91682211126,2.35407761429316,0.362303106078755,9.38333515761225e-13,3.93748201551304e-10
"WIPF1",20611.843515695,2.07883437502245,0.320799347376745,9.62426226070271e-13,3.94007907429012e-10
"IFIT2",6062.55775313386,5.23068933642275,0.82161268508427,1.04747834634972e-12,4.18617239130477e-10
"HSPA8",18862.8615678454,3.04759936452877,0.462749425855889,1.34833654779673e-12,5.26321603599257e-10
"TSPAN32",538.406609718174,-4.99912971645433,0.783010768847902,1.55433360736994e-12,5.9294294544783e-10
"MOB3C",645.87950515741,2.50238338321162,0.389461118392193,1.77092972968817e-12,6.60556789173687e-10
"TMC8",10337.3468136296,-3.07572914495209,0.472628655771516,2.31956590755439e-12,8.28381143793626e-10
"PRKAG2",1214.52645150999,2.42820082865508,0.381169050998625,2.31854993119398e-12,8.28381143793626e-10
"CD101",143.162981930172,-10.4786409715715,1.60988366096472,3.04232738420111e-12,1.06386385716283e-09
"LINC00641",713.725273074496,-3.26684259168087,0.503556546928481,3.24451359869275e-12,1.08918321508115e-09
"CNOT9",1373.64071418097,-1.46191198354807,0.225276844348304,3.21370948266023e-12,1.08918321508115e-09
"ZNF655",3286.59777136553,-1.49973812446067,0.232446402146373,3.61245215120902e-12,1.1889217521185e-09
"CASP4",1607.0237268454,2.4390133594992,0.387676516593819,3.89900751761872e-12,1.25855463813904e-09
"MGAT4B",1479.0487479227,2.113022819617,0.337807317332538,4.15384191944186e-12,1.31551389844965e-09
"NABP1",594.409792528813,3.10895466240385,0.484466378279153,4.30436635357092e-12,1.33794054156829e-09
"SLC35B4",509.567954732559,-2.48300677907738,0.395558453469417,4.4830110214669e-12,1.3681334544604e-09
"OPTN",4418.69124503448,2.07463155043846,0.335281354529035,6.46186303051227e-12,1.91347002105655e-09
"IFITM2",2728.90255682626,4.62022182112975,0.736367100176375,6.61686403679996e-12,1.91347002105655e-09
"APOL1",2253.91310851713,4.03223946532495,0.631152062274823,6.72592977315081e-12,1.91347002105655e-09
"TRIM26",3178.34958947499,1.99410432684206,0.321951151289761,6.52719357324054e-12,1.91347002105655e-09
"ARPC5",2810.33743076745,1.63106516737828,0.259482644206558,7.09215717266296e-12,1.98403096905246e-09
"TMEM154",374.852241272734,3.92303383490745,0.614678876495294,7.44240137616753e-12,2.04788044424544e-09
"CADM1",471.654791397274,-6.65232059050175,1.15691720970855,7.67352426636884e-12,2.07742104533872e-09
"ENDOD1",976.387195035618,2.97946126238249,0.479020885319988,1.25996757046294e-11,3.3569135984477e-09
"AMBRA1",1769.30145397476,1.8641613283593,0.30530047174883,1.33106826130867e-11,3.38514860091909e-09
"ENOSF1",563.429065113717,-2.10681641489353,0.346922148207029,1.32019972772751e-11,3.38514860091909e-09
"GTPBP1",3424.55862659416,2.04714433507367,0.336766289253556,1.30201980455276e-11,3.38514860091909e-09
