"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","condition"
"117B",4320.08655582917,-0.0813155093240459,0.154650159871831,-0.525802943827783,0.59902512895648,0.904254621209616,"Pancreatic Cancer"
"117C",5737.63068846279,0.0994072862844821,0.109429046855752,0.908417729485656,0.363657562100847,0.797094435010712,"Pancreatic Cancer"
"117D",114704.808680278,0.184276586750504,0.113073103639064,1.62971193696713,0.103162393299475,0.580193719454955,"Pancreatic Cancer"
"118B",2510.71001312702,-0.0346797627499675,0.153043365245119,-0.226600889848594,0.820734100291948,0.953954775626528,"Pancreatic Cancer"
"118C",5663.65375142475,0.0603337760235803,0.130060747895503,0.463889197931227,0.642727132406719,0.913028651524063,"Pancreatic Cancer"
"118D",21087.6876432686,0.0622974665333206,0.141856051337624,0.439159739368819,0.660545795132782,0.91424936736595,"Pancreatic Cancer"
"119B",1705.78737497548,0.0151633944414745,0.184092959726926,0.0823681387053972,0.934353971562541,0.975406430770034,"Pancreatic Cancer"
"119C",5277.73192350234,0.244261440403775,0.167518207624901,1.45811875536965,0.144807812569335,0.644502595322581,"Pancreatic Cancer"
"119D",3699.80646719734,0.235346541251916,0.119028536915635,1.97722787619177,0.0480158779620876,0.500375991394387,"Pancreatic Cancer"
"11A",252.453046799147,-0.624725742891175,0.39547014601052,-1.57970392757424,0.114174685763973,0.580193719454955,"Pancreatic Cancer"
"11B",14360.7289378534,-0.212860333237509,0.205282954345429,-1.03691187569002,0.299776928814733,0.783611184920806,"Pancreatic Cancer"
"11C",1951.56621543468,0.0951532641966222,0.178177905380053,0.534035148710839,0.593317216253966,0.901356589398608,"Pancreatic Cancer"
"11D",76100.5035023331,0.209145172294329,0.117370706029077,1.78191969163511,0.0747623288488449,0.561971443173129,"Pancreatic Cancer"
"120B",20869.8301548974,0.0159215142372741,0.109008592202343,0.146057424608515,0.883876056146111,0.965831160026013,"Pancreatic Cancer"
"120C",5335.28279322175,0.131216268120636,0.125876570052117,1.04242011095718,0.297216946488971,0.783611184920806,"Pancreatic Cancer"
"120D",62744.2149087292,-0.192300374840776,0.112149117352929,-1.71468469284171,0.0864030514998768,0.561971443173129,"Pancreatic Cancer"
"121C",4587.58948203103,0.108154062505191,0.137102467060997,0.788855699125189,0.430196350695052,0.835087033702159,"Pancreatic Cancer"
"121D",51909.4627261971,-0.133971946096459,0.103725854350645,-1.29159645813634,0.196496931272163,0.70924707994885,"Pancreatic Cancer"
"122C",8797.72732976325,0.0428801549067344,0.112492047902517,0.381183876605156,0.703066812212297,0.916866506680385,"Pancreatic Cancer"
"122D",10955.8481548903,-0.00228961489016256,0.161608145291713,-0.0141676948648205,0.988696193163217,0.997089199896351,"Pancreatic Cancer"
"123B",10886.0576378486,-0.104446131213828,0.147871973872283,-0.706328105852152,0.479984118867802,0.866597466892019,"Pancreatic Cancer"
"123C",6155.69030245693,-0.101962794362476,0.202899592934795,-0.502528333781543,0.615295926838756,0.904254621209616,"Pancreatic Cancer"
"123D",13695.3576479896,-0.0854089644628715,0.1167739233609,-0.731404426645047,0.464532162238635,0.859601571245325,"Pancreatic Cancer"
"124C",8896.75649787848,-0.140329804209124,0.133488149474983,-1.05125289968472,0.29314245311528,0.783611184920806,"Pancreatic Cancer"
"124D",29591.5925635815,0.154316976171741,0.107643135371166,1.43359793116058,0.151687034239885,0.644502595322581,"Pancreatic Cancer"
"125B",94104.8329716206,0.1653778354377,0.119947734215878,1.37874914035524,0.167972112727123,0.669633791677257,"Pancreatic Cancer"
"125C",2890.04330345952,-0.110229596489464,0.175850828141561,-0.626835811092849,0.530766866647245,0.894332873433157,"Pancreatic Cancer"
"125D",32099.8177032924,0.0714933432897098,0.0964334279895172,0.741375110065375,0.458466031661267,0.85637994593331,"Pancreatic Cancer"
"126B",517.806491636099,-0.47526363809016,0.276288164377162,-1.72017371486596,0.0854008694610069,0.561971443173129,"Pancreatic Cancer"
"126C",687.042860852936,-0.858535826431994,0.458591416794764,-1.87211490444493,0.0611907084263196,0.526620619523572,"Pancreatic Cancer"
"126D",24729.9566476636,0.0688715035871269,0.0965257402294407,0.71350401896344,0.475533927088492,0.866597466892019,"Pancreatic Cancer"
"127C",13715.1074301033,-0.0382448757733279,0.158500659899253,-0.241291587035898,0.809329130865727,0.951963373731172,"Pancreatic Cancer"
"127D",9738.66433887252,-0.162722899700387,0.110054126653056,-1.47857154155944,0.139254863358663,0.631430449122489,"Pancreatic Cancer"
